type_of_food,number_of_guests,event_type,quantity_of_food,storage_conditions,purchase_history,seasonality,preparation_method,geographical_location,pricing,wastage_food_amount
Bakery,126,Birthday,123,Refrigerated,Regular,Spring,Plated,Cairo,Moderate,84
Meat,174,Birthday,64,Refrigerated,Regular,Summer,Buffet,Mansoura,High,26
Bakery,82,Corporate,166,Room Temperature,Regular,All Seasons,Buffet,Mansoura,Moderate,99
Dairy,216,Corporate,190,Room Temperature,Regular,All Seasons,Plated,Giza,Moderate,13
Meat,190,Birthday,475,Refrigerated,Occasional,Autumn,Buffet,Mansoura,Low,79
Meat,118,Corporate,435,Refrigerated,Regular,Spring,Buffet,Cairo,Low,27
Meat,411,Wedding,476,Frozen,Occasional,Winter,Buffet,Giza,High,39
Bakery,280,Festival,294,Refrigerated,Regular,Autumn,Buffet,Upper Egypt,Moderate,83
Meat,371,Wedding,406,Room Temperature,Regular,Autumn,Buffet,Giza,Low,72
Meat,366,Wedding,569,Refrigerated,Occasional,Winter,Finger Food,Cairo,Low,19
Vegetables,400,Festival,559,Refrigerated,Regular,All Seasons,Buffet,Upper Egypt,Moderate,41
Vegetables,272,Wedding,392,Frozen,Occasional,All Seasons,Buffet,Upper Egypt,Low,73
Vegetables,130,Corporate,546,Frozen,Regular,All Seasons,Buffet,Upper Egypt,Moderate,80
Bakery,216,Festival,253,Frozen,Occasional,Winter,Buffet,Alexandria,Low,17
Vegetables,427,Festival,254,Room Temperature,Regular,All Seasons,Finger Food,Delta,Moderate,11
Dairy,124,Birthday,515,Refrigerated,Occasional,Summer,Buffet,Mansoura,High,29
Fruits,188,Birthday,393,Refrigerated,Regular,Autumn,Buffet,Alexandria,Low,19
Dairy,284,Festival,225,Room Temperature,Regular,Summer,Plated,Giza,High,83
Vegetables,345,Birthday,138,Room Temperature,Occasional,Winter,Plated,Mansoura,Moderate,40
Meat,423,Festival,302,Refrigerated,Occasional,Spring,Plated,Giza,High,24
Bakery,52,Festival,95,Refrigerated,Occasional,Autumn,Buffet,Mansoura,High,55
Dairy,464,Corporate,513,Room Temperature,Regular,All Seasons,Plated,Cairo,High,98
Dairy,161,Birthday,417,Room Temperature,Regular,All Seasons,Buffet,Mansoura,High,44
Vegetables,410,Festival,74,Room Temperature,Occasional,Winter,Plated,Mansoura,Low,52
Dairy,410,Corporate,122,Room Temperature,Occasional,Autumn,Buffet,Alexandria,Moderate,39
Bakery,327,Birthday,132,Frozen,Occasional,All Seasons,Plated,Upper Egypt,Moderate,11
Meat,246,Wedding,526,Frozen,Regular,Summer,Finger Food,Giza,High,76
Meat,337,Birthday,191,Room Temperature,Regular,Autumn,Buffet,Upper Egypt,Moderate,99
Bakery,496,Birthday,280,Room Temperature,Occasional,Summer,Plated,Upper Egypt,Moderate,40
Meat,82,Wedding,403,Room Temperature,Occasional,Autumn,Plated,Cairo,Moderate,95
Bakery,397,Wedding,512,Frozen,Occasional,All Seasons,Buffet,Mansoura,Low,15
Dairy,141,Wedding,128,Refrigerated,Regular,Summer,Buffet,Upper Egypt,Low,68
Vegetables,497,Birthday,583,Frozen,Regular,Summer,Finger Food,Upper Egypt,High,21
Dairy,227,Festival,504,Frozen,Regular,Summer,Buffet,Cairo,Low,34
Bakery,380,Wedding,471,Frozen,Occasional,Summer,Finger Food,Delta,High,94
Bakery,481,Festival,518,Room Temperature,Regular,Summer,Buffet,Alexandria,Low,66
Fruits,197,Corporate,201,Room Temperature,Occasional,Spring,Buffet,Delta,Low,96
Bakery,196,Birthday,229,Frozen,Regular,Winter,Buffet,Cairo,Low,45
Bakery,114,Festival,316,Room Temperature,Regular,Winter,Plated,Upper Egypt,Low,90
Fruits,226,Birthday,431,Room Temperature,Regular,Autumn,Finger Food,Cairo,Low,56
Dairy,443,Birthday,519,Room Temperature,Regular,All Seasons,Plated,Delta,High,47
Fruits,292,Wedding,200,Frozen,Occasional,Summer,Plated,Cairo,High,66
Meat,121,Corporate,365,Refrigerated,Occasional,Autumn,Buffet,Mansoura,Moderate,16
Fruits,78,Birthday,589,Refrigerated,Occasional,Winter,Buffet,Cairo,High,62
Meat,312,Festival,249,Room Temperature,Occasional,Autumn,Plated,Delta,Low,90
Fruits,253,Birthday,487,Room Temperature,Occasional,Summer,Buffet,Alexandria,Moderate,49
Fruits,278,Corporate,270,Frozen,Occasional,Spring,Finger Food,Alexandria,Low,98
Dairy,423,Festival,192,Frozen,Regular,Winter,Buffet,Alexandria,Moderate,72
Fruits,83,Festival,140,Refrigerated,Occasional,Summer,Finger Food,Giza,High,64
Bakery,436,Birthday,254,Refrigerated,Occasional,Summer,Plated,Mansoura,Low,43
Bakery,205,Festival,524,Refrigerated,Regular,All Seasons,Buffet,Alexandria,Moderate,86
Dairy,113,Wedding,477,Refrigerated,Occasional,Winter,Buffet,Cairo,Moderate,68
Meat,356,Wedding,542,Frozen,Occasional,Summer,Plated,Upper Egypt,Moderate,93
Meat,241,Corporate,315,Refrigerated,Regular,Winter,Finger Food,Mansoura,High,22
Fruits,133,Corporate,329,Room Temperature,Occasional,Summer,Buffet,Alexandria,Moderate,72
Meat,313,Birthday,237,Refrigerated,Regular,Autumn,Finger Food,Alexandria,High,43
Fruits,400,Wedding,148,Frozen,Occasional,Winter,Buffet,Giza,High,41
Fruits,448,Festival,471,Room Temperature,Regular,All Seasons,Buffet,Giza,High,33
Vegetables,457,Corporate,477,Room Temperature,Regular,All Seasons,Buffet,Cairo,Moderate,49
Fruits,403,Wedding,192,Room Temperature,Occasional,Winter,Plated,Alexandria,Low,100
Meat,163,Birthday,195,Frozen,Regular,Summer,Buffet,Giza,Low,15
Dairy,403,Corporate,129,Refrigerated,Occasional,Spring,Buffet,Giza,Low,9
Bakery,353,Corporate,530,Refrigerated,Occasional,All Seasons,Buffet,Alexandria,High,6
Meat,450,Corporate,260,Frozen,Regular,Winter,Plated,Alexandria,Low,16
Vegetables,483,Wedding,406,Room Temperature,Regular,Autumn,Plated,Delta,Low,69
Bakery,84,Corporate,64,Frozen,Regular,Winter,Finger Food,Giza,High,5
Meat,159,Festival,425,Frozen,Regular,Spring,Plated,Cairo,Low,50
Dairy,267,Birthday,576,Refrigerated,Occasional,All Seasons,Finger Food,Cairo,Moderate,19
Bakery,119,Festival,419,Frozen,Occasional,Autumn,Plated,Cairo,Low,46
Dairy,109,Festival,340,Room Temperature,Occasional,Spring,Buffet,Delta,Moderate,42
Dairy,146,Corporate,537,Frozen,Occasional,Winter,Buffet,Upper Egypt,Moderate,91
Meat,252,Festival,585,Frozen,Regular,All Seasons,Buffet,Mansoura,Moderate,93
Bakery,102,Birthday,116,Room Temperature,Regular,Summer,Buffet,Delta,Moderate,20
Vegetables,479,Festival,561,Room Temperature,Occasional,Spring,Finger Food,Mansoura,High,82
Dairy,298,Wedding,200,Room Temperature,Regular,All Seasons,Finger Food,Mansoura,Moderate,34
Vegetables,65,Corporate,104,Refrigerated,Occasional,All Seasons,Buffet,Mansoura,High,91
Fruits,128,Wedding,148,Refrigerated,Occasional,Spring,Buffet,Alexandria,High,68
Dairy,308,Wedding,401,Frozen,Regular,All Seasons,Finger Food,Cairo,Moderate,62
Fruits,486,Festival,503,Room Temperature,Regular,All Seasons,Buffet,Delta,High,43
Vegetables,301,Festival,187,Room Temperature,Occasional,Spring,Buffet,Delta,High,67
Bakery,400,Festival,537,Frozen,Regular,Autumn,Buffet,Mansoura,Moderate,68
Bakery,243,Wedding,341,Room Temperature,Regular,All Seasons,Plated,Cairo,Low,51
Fruits,464,Corporate,399,Room Temperature,Regular,Spring,Finger Food,Alexandria,Moderate,49
Meat,388,Birthday,303,Refrigerated,Occasional,Autumn,Buffet,Upper Egypt,Low,44
Meat,222,Birthday,70,Frozen,Occasional,All Seasons,Finger Food,Upper Egypt,Moderate,77
Bakery,265,Wedding,70,Frozen,Occasional,Autumn,Buffet,Alexandria,Moderate,78
Dairy,215,Corporate,550,Refrigerated,Regular,Summer,Finger Food,Delta,High,48
Vegetables,364,Wedding,422,Room Temperature,Regular,Spring,Plated,Cairo,High,32
Fruits,185,Corporate,354,Frozen,Occasional,Winter,Plated,Upper Egypt,Low,96
Bakery,98,Wedding,329,Refrigerated,Occasional,Spring,Buffet,Alexandria,Low,88
Fruits,308,Wedding,493,Frozen,Occasional,Winter,Finger Food,Mansoura,Moderate,84
Bakery,282,Birthday,69,Frozen,Regular,Autumn,Finger Food,Giza,High,100
Dairy,187,Festival,111,Frozen,Regular,Summer,Finger Food,Giza,Low,24
Fruits,482,Festival,470,Room Temperature,Regular,Winter,Finger Food,Alexandria,Moderate,87
Vegetables,181,Birthday,465,Refrigerated,Regular,Winter,Buffet,Cairo,Low,44
Dairy,298,Festival,482,Frozen,Regular,Winter,Buffet,Alexandria,Low,8
Fruits,454,Wedding,230,Frozen,Regular,Spring,Buffet,Cairo,Low,45
Bakery,202,Corporate,466,Room Temperature,Regular,Spring,Plated,Giza,Low,19
Bakery,426,Corporate,584,Frozen,Occasional,Spring,Buffet,Giza,High,20
Fruits,218,Festival,291,Room Temperature,Regular,Winter,Buffet,Giza,Low,40
Dairy,259,Wedding,107,Room Temperature,Occasional,All Seasons,Finger Food,Delta,Moderate,65
Vegetables,192,Birthday,421,Room Temperature,Occasional,Summer,Buffet,Upper Egypt,High,9
Meat,403,Birthday,309,Frozen,Occasional,Summer,Plated,Upper Egypt,Moderate,92
Meat,323,Birthday,503,Room Temperature,Regular,Spring,Finger Food,Alexandria,Low,35
Fruits,157,Birthday,499,Frozen,Occasional,Spring,Buffet,Alexandria,Low,67
Dairy,427,Festival,390,Frozen,Occasional,All Seasons,Buffet,Upper Egypt,Moderate,69
Meat,230,Festival,384,Room Temperature,Regular,All Seasons,Plated,Upper Egypt,Low,85
Dairy,455,Birthday,53,Room Temperature,Regular,Summer,Finger Food,Delta,Low,19
Vegetables,177,Birthday,470,Room Temperature,Occasional,Spring,Plated,Giza,Moderate,27
Bakery,473,Wedding,338,Refrigerated,Regular,Spring,Finger Food,Giza,Moderate,53
Bakery,164,Corporate,73,Frozen,Regular,All Seasons,Finger Food,Giza,Moderate,94
Vegetables,75,Festival,489,Frozen,Occasional,Winter,Buffet,Alexandria,Low,77
Meat,57,Festival,514,Frozen,Occasional,All Seasons,Buffet,Upper Egypt,Low,29
Fruits,197,Festival,441,Refrigerated,Occasional,Winter,Plated,Giza,Moderate,98
Vegetables,264,Birthday,468,Refrigerated,Regular,Summer,Finger Food,Giza,High,62
Vegetables,239,Festival,137,Refrigerated,Occasional,Winter,Finger Food,Upper Egypt,Moderate,92
Vegetables,415,Festival,483,Frozen,Occasional,All Seasons,Buffet,Delta,Low,11
Fruits,170,Festival,412,Frozen,Regular,All Seasons,Finger Food,Delta,High,53
Fruits,252,Wedding,185,Frozen,Regular,Autumn,Buffet,Alexandria,Low,69
Dairy,223,Festival,185,Refrigerated,Occasional,Autumn,Finger Food,Giza,Moderate,19
Fruits,72,Birthday,561,Room Temperature,Occasional,Spring,Finger Food,Alexandria,High,38
Bakery,210,Festival,218,Room Temperature,Occasional,Winter,Plated,Upper Egypt,High,61
Meat,146,Birthday,105,Refrigerated,Regular,All Seasons,Finger Food,Alexandria,Low,95
Dairy,273,Corporate,556,Refrigerated,Occasional,Summer,Plated,Delta,Moderate,63
Dairy,107,Birthday,176,Room Temperature,Regular,Winter,Finger Food,Giza,Low,100
Bakery,471,Wedding,267,Frozen,Regular,Autumn,Plated,Giza,Moderate,14
Vegetables,443,Festival,146,Room Temperature,Regular,Summer,Plated,Upper Egypt,Low,55
Fruits,352,Corporate,381,Refrigerated,Regular,All Seasons,Finger Food,Upper Egypt,High,66
Dairy,371,Wedding,55,Room Temperature,Regular,Autumn,Finger Food,Alexandria,High,98
Bakery,116,Birthday,99,Frozen,Occasional,Summer,Buffet,Upper Egypt,Low,75
Bakery,245,Corporate,458,Room Temperature,Regular,Winter,Finger Food,Cairo,Low,31
Vegetables,248,Festival,341,Frozen,Regular,All Seasons,Finger Food,Mansoura,Moderate,99
Fruits,400,Birthday,417,Frozen,Regular,Summer,Plated,Giza,Moderate,62
Dairy,293,Wedding,483,Refrigerated,Occasional,Summer,Plated,Giza,Moderate,85
Dairy,97,Corporate,575,Room Temperature,Occasional,Winter,Plated,Upper Egypt,High,24
Dairy,319,Corporate,347,Room Temperature,Occasional,All Seasons,Finger Food,Alexandria,Low,21
Fruits,480,Birthday,585,Room Temperature,Occasional,Autumn,Buffet,Delta,Low,10
Bakery,105,Festival,472,Refrigerated,Occasional,Autumn,Finger Food,Alexandria,Moderate,79
Meat,443,Corporate,166,Frozen,Occasional,Winter,Buffet,Mansoura,Low,15
Dairy,498,Wedding,371,Frozen,Occasional,Spring,Plated,Alexandria,Moderate,28
Vegetables,144,Corporate,315,Frozen,Regular,Spring,Plated,Cairo,Low,55
Meat,56,Birthday,538,Room Temperature,Occasional,Autumn,Plated,Mansoura,Moderate,84
Bakery,234,Festival,359,Refrigerated,Regular,Winter,Buffet,Giza,Low,7
Vegetables,489,Corporate,264,Room Temperature,Regular,Winter,Finger Food,Upper Egypt,High,29
Meat,204,Festival,201,Room Temperature,Occasional,All Seasons,Buffet,Giza,Low,99
Dairy,298,Festival,70,Room Temperature,Regular,Winter,Finger Food,Delta,Moderate,11
Fruits,54,Corporate,492,Room Temperature,Occasional,Autumn,Plated,Upper Egypt,High,42
Meat,299,Festival,547,Frozen,Occasional,Winter,Plated,Cairo,High,7
Dairy,345,Wedding,115,Room Temperature,Occasional,Spring,Buffet,Mansoura,High,87
Fruits,279,Festival,71,Refrigerated,Occasional,Winter,Finger Food,Alexandria,Moderate,34
Bakery,162,Wedding,529,Refrigerated,Occasional,Spring,Finger Food,Upper Egypt,High,99
Fruits,457,Festival,215,Frozen,Regular,Summer,Plated,Upper Egypt,Low,90
Dairy,116,Birthday,254,Refrigerated,Occasional,All Seasons,Finger Food,Mansoura,Moderate,35
Vegetables,335,Corporate,68,Room Temperature,Occasional,Summer,Plated,Giza,Low,69
Meat,463,Corporate,395,Room Temperature,Regular,Autumn,Buffet,Cairo,High,33
Dairy,182,Wedding,413,Refrigerated,Occasional,Winter,Plated,Delta,High,90
Meat,411,Corporate,498,Room Temperature,Regular,All Seasons,Plated,Delta,Low,76
Meat,309,Corporate,221,Frozen,Regular,Winter,Finger Food,Giza,High,42
Dairy,440,Festival,151,Refrigerated,Occasional,Summer,Buffet,Cairo,Low,61
Dairy,443,Corporate,301,Room Temperature,Occasional,Summer,Plated,Giza,Low,39
Fruits,416,Festival,419,Frozen,Regular,Winter,Plated,Mansoura,Low,22
Dairy,261,Festival,519,Frozen,Occasional,All Seasons,Finger Food,Giza,Low,96
Bakery,85,Corporate,396,Room Temperature,Occasional,Winter,Finger Food,Cairo,Moderate,9
Vegetables,344,Corporate,582,Room Temperature,Occasional,Spring,Plated,Upper Egypt,High,43
Fruits,226,Corporate,336,Frozen,Regular,Spring,Finger Food,Upper Egypt,Low,74
Bakery,453,Festival,403,Frozen,Occasional,Winter,Finger Food,Cairo,Low,73
Fruits,249,Birthday,582,Frozen,Occasional,Winter,Buffet,Delta,High,44
Bakery,224,Birthday,73,Refrigerated,Occasional,Winter,Finger Food,Upper Egypt,Moderate,69
Meat,424,Corporate,431,Room Temperature,Occasional,All Seasons,Buffet,Upper Egypt,Low,62
Fruits,343,Corporate,514,Room Temperature,Regular,Autumn,Plated,Upper Egypt,High,90
Bakery,482,Birthday,408,Room Temperature,Occasional,Autumn,Plated,Giza,High,53
Bakery,427,Birthday,157,Room Temperature,Regular,Summer,Finger Food,Cairo,Low,96
Dairy,474,Festival,133,Refrigerated,Regular,Spring,Buffet,Mansoura,Low,62
Meat,239,Festival,581,Room Temperature,Occasional,Autumn,Finger Food,Upper Egypt,Moderate,61
Dairy,424,Festival,216,Refrigerated,Regular,Spring,Plated,Mansoura,Low,95
Bakery,491,Corporate,267,Room Temperature,Occasional,All Seasons,Plated,Giza,High,52
Meat,358,Festival,162,Refrigerated,Occasional,Autumn,Finger Food,Cairo,High,24
Meat,240,Wedding,433,Room Temperature,Occasional,Spring,Buffet,Giza,Low,80
Dairy,74,Wedding,340,Refrigerated,Regular,Spring,Buffet,Cairo,High,49
Meat,495,Corporate,477,Room Temperature,Occasional,Autumn,Finger Food,Alexandria,Moderate,65
Bakery,117,Birthday,566,Frozen,Occasional,Spring,Plated,Mansoura,Low,98
Fruits,95,Festival,446,Refrigerated,Occasional,Summer,Plated,Cairo,High,61
Fruits,380,Corporate,219,Frozen,Regular,Autumn,Plated,Upper Egypt,Moderate,76
Meat,379,Corporate,247,Frozen,Regular,Autumn,Plated,Giza,Moderate,69
Meat,111,Birthday,69,Room Temperature,Regular,Winter,Plated,Delta,Moderate,15
Bakery,360,Wedding,461,Frozen,Regular,Spring,Buffet,Alexandria,Moderate,28
Dairy,62,Wedding,441,Room Temperature,Regular,All Seasons,Buffet,Delta,Low,41
Vegetables,143,Wedding,141,Refrigerated,Occasional,Spring,Plated,Giza,Low,83
Fruits,142,Corporate,109,Room Temperature,Occasional,All Seasons,Finger Food,Giza,Moderate,46
Fruits,242,Corporate,103,Refrigerated,Regular,Autumn,Plated,Giza,Moderate,70
Bakery,247,Corporate,325,Refrigerated,Occasional,Spring,Plated,Mansoura,Low,66
Meat,258,Birthday,69,Room Temperature,Regular,Winter,Plated,Upper Egypt,Low,43
Bakery,258,Festival,135,Frozen,Regular,Winter,Finger Food,Delta,Low,36
Bakery,266,Festival,92,Refrigerated,Occasional,Autumn,Finger Food,Upper Egypt,Low,5
Meat,296,Wedding,306,Frozen,Occasional,Summer,Plated,Giza,High,70
Fruits,73,Birthday,596,Frozen,Regular,Summer,Buffet,Mansoura,High,20
Vegetables,421,Wedding,492,Refrigerated,Occasional,Summer,Plated,Alexandria,High,62
Fruits,175,Wedding,399,Refrigerated,Occasional,Autumn,Finger Food,Cairo,High,22
Meat,361,Festival,54,Refrigerated,Regular,Spring,Plated,Upper Egypt,High,67
Dairy,325,Corporate,129,Frozen,Regular,Spring,Plated,Cairo,Moderate,53
Bakery,233,Festival,231,Frozen,Regular,All Seasons,Finger Food,Alexandria,Low,61
Meat,163,Corporate,337,Frozen,Occasional,Winter,Buffet,Delta,High,43
Vegetables,169,Festival,421,Refrigerated,Occasional,Spring,Plated,Upper Egypt,High,31
Meat,150,Festival,163,Room Temperature,Occasional,Winter,Plated,Giza,High,99
Bakery,394,Birthday,116,Frozen,Regular,All Seasons,Buffet,Alexandria,High,34
Bakery,423,Wedding,246,Frozen,Regular,Autumn,Plated,Alexandria,High,76
Dairy,51,Festival,103,Room Temperature,Occasional,Spring,Finger Food,Cairo,High,71
Dairy,303,Wedding,579,Refrigerated,Regular,All Seasons,Finger Food,Mansoura,High,62
Fruits,52,Festival,249,Room Temperature,Regular,Autumn,Buffet,Upper Egypt,Low,93
Dairy,88,Birthday,251,Refrigerated,Occasional,Summer,Buffet,Upper Egypt,High,17
Meat,295,Festival,74,Frozen,Occasional,Summer,Buffet,Cairo,Moderate,35
Fruits,476,Corporate,391,Frozen,Regular,All Seasons,Plated,Delta,Moderate,17
Dairy,346,Corporate,137,Refrigerated,Regular,Spring,Finger Food,Upper Egypt,Low,21
Meat,460,Festival,106,Room Temperature,Occasional,All Seasons,Buffet,Upper Egypt,Low,76
Meat,200,Festival,461,Refrigerated,Occasional,Winter,Plated,Upper Egypt,High,6
Dairy,246,Festival,488,Frozen,Regular,Summer,Plated,Upper Egypt,Low,63
Bakery,218,Birthday,160,Refrigerated,Regular,Autumn,Plated,Cairo,High,29
Bakery,114,Wedding,413,Room Temperature,Occasional,Autumn,Finger Food,Giza,Low,22
Meat,80,Birthday,369,Frozen,Occasional,Autumn,Plated,Alexandria,Moderate,79
Bakery,447,Birthday,200,Room Temperature,Occasional,Autumn,Finger Food,Alexandria,Moderate,6
Bakery,350,Birthday,108,Refrigerated,Regular,Spring,Finger Food,Giza,Low,86
Vegetables,452,Corporate,399,Refrigerated,Occasional,Spring,Plated,Upper Egypt,Moderate,79
Bakery,221,Wedding,478,Room Temperature,Regular,All Seasons,Finger Food,Cairo,Moderate,33
Meat,377,Birthday,285,Room Temperature,Regular,Winter,Finger Food,Upper Egypt,Moderate,99
Dairy,155,Festival,238,Refrigerated,Occasional,All Seasons,Buffet,Alexandria,Low,76
Meat,122,Wedding,500,Refrigerated,Occasional,All Seasons,Buffet,Giza,Low,41
Vegetables,162,Wedding,228,Room Temperature,Regular,Winter,Buffet,Cairo,Low,38
Meat,60,Birthday,438,Frozen,Regular,Summer,Buffet,Alexandria,Moderate,35
Fruits,464,Wedding,225,Frozen,Occasional,All Seasons,Buffet,Giza,Low,29
Vegetables,322,Festival,433,Room Temperature,Occasional,Winter,Buffet,Delta,High,29
Bakery,200,Birthday,385,Refrigerated,Regular,Summer,Buffet,Delta,High,67
Vegetables,422,Corporate,531,Frozen,Regular,Winter,Plated,Mansoura,High,70
Fruits,305,Festival,233,Room Temperature,Occasional,Autumn,Plated,Mansoura,High,68
Dairy,187,Festival,87,Refrigerated,Regular,Winter,Finger Food,Giza,Moderate,32
Fruits,267,Festival,210,Room Temperature,Occasional,Autumn,Buffet,Giza,Low,42
Dairy,315,Wedding,285,Frozen,Regular,Spring,Plated,Delta,Moderate,59
Dairy,289,Festival,468,Room Temperature,Occasional,Summer,Finger Food,Mansoura,Low,27
Dairy,169,Wedding,127,Room Temperature,Regular,Summer,Plated,Delta,High,87
Meat,452,Wedding,283,Refrigerated,Regular,All Seasons,Finger Food,Cairo,High,30
Fruits,150,Wedding,306,Room Temperature,Occasional,Winter,Plated,Delta,Low,96
Bakery,183,Corporate,356,Room Temperature,Occasional,Spring,Finger Food,Delta,High,6
Dairy,384,Birthday,457,Refrigerated,Regular,Winter,Finger Food,Giza,High,80
Bakery,437,Festival,522,Room Temperature,Regular,Summer,Buffet,Mansoura,High,58
Vegetables,274,Festival,80,Room Temperature,Regular,Autumn,Buffet,Alexandria,High,6
Dairy,464,Wedding,397,Refrigerated,Occasional,Spring,Plated,Mansoura,High,73
Fruits,216,Corporate,82,Refrigerated,Regular,Summer,Plated,Upper Egypt,High,82
Bakery,493,Festival,440,Refrigerated,Occasional,All Seasons,Plated,Mansoura,Low,65
Meat,218,Festival,361,Refrigerated,Regular,All Seasons,Plated,Delta,Low,9
Bakery,300,Corporate,241,Refrigerated,Regular,Spring,Finger Food,Giza,Low,42
Bakery,85,Festival,108,Room Temperature,Regular,Winter,Finger Food,Mansoura,Moderate,25
Meat,116,Festival,539,Frozen,Regular,Spring,Buffet,Giza,Low,44
Dairy,468,Festival,212,Frozen,Occasional,Autumn,Buffet,Delta,High,92
Dairy,191,Birthday,57,Refrigerated,Occasional,All Seasons,Finger Food,Delta,Low,72
Fruits,341,Festival,521,Room Temperature,Regular,All Seasons,Finger Food,Upper Egypt,Moderate,49
Fruits,250,Birthday,475,Refrigerated,Regular,Autumn,Plated,Mansoura,Moderate,54
Vegetables,407,Corporate,452,Frozen,Regular,Winter,Buffet,Alexandria,High,73
Fruits,391,Corporate,272,Room Temperature,Occasional,Autumn,Buffet,Alexandria,Low,18
Bakery,442,Wedding,469,Room Temperature,Regular,Summer,Buffet,Delta,Low,64
Meat,87,Festival,440,Room Temperature,Occasional,Winter,Finger Food,Cairo,Low,37
Meat,413,Birthday,384,Frozen,Occasional,Spring,Finger Food,Cairo,Low,75
Vegetables,415,Festival,193,Room Temperature,Occasional,Winter,Buffet,Cairo,High,17
Vegetables,200,Corporate,597,Frozen,Occasional,Winter,Buffet,Upper Egypt,Low,91
Fruits,128,Festival,416,Refrigerated,Regular,All Seasons,Plated,Delta,Low,61
Meat,478,Corporate,449,Frozen,Occasional,Spring,Buffet,Delta,Low,11
Dairy,442,Birthday,305,Room Temperature,Regular,Winter,Buffet,Cairo,Moderate,8
Meat,222,Birthday,114,Refrigerated,Regular,Winter,Plated,Giza,Low,58
Bakery,105,Wedding,380,Frozen,Regular,Autumn,Buffet,Delta,Moderate,59
Meat,168,Birthday,158,Room Temperature,Occasional,Winter,Buffet,Mansoura,High,45
Meat,249,Birthday,519,Refrigerated,Regular,Summer,Plated,Delta,Moderate,10
Meat,161,Festival,358,Frozen,Occasional,All Seasons,Plated,Delta,High,26
Fruits,98,Wedding,447,Frozen,Regular,Summer,Buffet,Upper Egypt,High,45
Dairy,84,Wedding,68,Frozen,Occasional,Spring,Plated,Upper Egypt,High,34
Bakery,350,Corporate,288,Refrigerated,Regular,Summer,Buffet,Upper Egypt,Moderate,36
Bakery,90,Corporate,190,Room Temperature,Occasional,Summer,Buffet,Giza,Moderate,31
Meat,171,Festival,386,Refrigerated,Occasional,Summer,Plated,Cairo,High,58
Fruits,434,Corporate,284,Frozen,Occasional,Summer,Buffet,Giza,High,11
Vegetables,460,Birthday,440,Frozen,Occasional,Winter,Finger Food,Upper Egypt,Low,13
Dairy,85,Birthday,103,Frozen,Regular,Winter,Buffet,Cairo,Low,80
Bakery,475,Birthday,291,Frozen,Regular,Spring,Plated,Mansoura,Moderate,26
Vegetables,175,Festival,230,Frozen,Regular,Summer,Finger Food,Delta,Moderate,86
Vegetables,189,Festival,131,Room Temperature,Occasional,Spring,Buffet,Mansoura,Moderate,59
Bakery,362,Festival,209,Room Temperature,Regular,Spring,Finger Food,Cairo,Moderate,81
Bakery,128,Birthday,313,Room Temperature,Occasional,Summer,Finger Food,Alexandria,Moderate,76
Bakery,296,Corporate,391,Refrigerated,Occasional,Winter,Buffet,Giza,Low,6
Bakery,423,Wedding,553,Room Temperature,Occasional,Spring,Plated,Alexandria,Moderate,67
Fruits,378,Corporate,468,Refrigerated,Regular,Spring,Plated,Giza,Low,60
Fruits,444,Wedding,571,Frozen,Occasional,Summer,Plated,Cairo,High,54
Dairy,426,Birthday,298,Room Temperature,Regular,Summer,Plated,Upper Egypt,High,8
Vegetables,183,Festival,200,Room Temperature,Regular,Autumn,Plated,Upper Egypt,Low,6
Meat,444,Corporate,443,Room Temperature,Regular,Autumn,Buffet,Mansoura,Low,59
Fruits,404,Wedding,562,Frozen,Occasional,Autumn,Finger Food,Upper Egypt,Moderate,98
Meat,105,Wedding,196,Room Temperature,Regular,Spring,Plated,Alexandria,Low,26
Dairy,50,Corporate,121,Frozen,Occasional,Autumn,Finger Food,Upper Egypt,Moderate,98
Dairy,137,Birthday,433,Refrigerated,Regular,Winter,Finger Food,Giza,High,19
Dairy,340,Birthday,240,Refrigerated,Regular,Winter,Buffet,Alexandria,Moderate,61
Bakery,105,Birthday,131,Room Temperature,Regular,Spring,Buffet,Alexandria,Low,48
Meat,349,Birthday,539,Room Temperature,Regular,All Seasons,Buffet,Alexandria,Low,90
Bakery,454,Corporate,149,Refrigerated,Regular,Spring,Plated,Delta,Moderate,67
Dairy,437,Wedding,489,Room Temperature,Occasional,Summer,Finger Food,Giza,Moderate,90
Dairy,243,Corporate,414,Room Temperature,Regular,All Seasons,Finger Food,Upper Egypt,Moderate,97
Vegetables,63,Corporate,593,Room Temperature,Regular,Summer,Finger Food,Delta,High,89
Dairy,313,Festival,242,Refrigerated,Occasional,All Seasons,Plated,Alexandria,Low,99
Fruits,397,Festival,289,Frozen,Occasional,Spring,Plated,Delta,Low,49
Dairy,293,Corporate,444,Room Temperature,Regular,Winter,Plated,Delta,High,69
Meat,115,Festival,139,Room Temperature,Occasional,Winter,Finger Food,Cairo,Moderate,89
Bakery,173,Birthday,266,Refrigerated,Regular,All Seasons,Finger Food,Upper Egypt,Low,25
Fruits,246,Wedding,275,Frozen,Occasional,Spring,Plated,Cairo,High,22
Bakery,374,Festival,142,Frozen,Occasional,Winter,Plated,Delta,Low,87
Fruits,243,Festival,497,Refrigerated,Regular,Summer,Buffet,Alexandria,Low,19
Meat,224,Birthday,168,Frozen,Occasional,Winter,Finger Food,Mansoura,High,99
